dataset,call_id,emotion_true,emotion_pred,confidence,duration,transcript,emotion,split
IEMOCAP,iemocap_Ses03M_impro08b_M009,neutral,neutral,0.943,8.0,You might have an older phone where we would use SIM card but probably not.,neutral,test
IEMOCAP,iemocap_Ses03M_impro08b_M010,neutral,anger,0.631,9.16,"Okay, how about this? We'll send you a brand new camera phone with Palm pilots. I don't know",neutral,train
IEMOCAP,iemocap_Ses03M_impro08b_M011,neutral,neutral,0.8095,7.19,"We'll send it to Paul, the next space. We'll send it to Paul. We'll give you about a free year service. I'm on the road all the time, dude.",neutral,train
IEMOCAP,iemocap_Ses03M_impro08b_M012,neutral,neutral,0.7466666666666667,6.17,"I was in the variety. Okay, tell my name. My name is Brent Bacrossing.",neutral,train
IEMOCAP,iemocap_Ses03M_impro08b_M013,neutral,neutral,0.846,4.38,"Okay, tell my ID number is 2135.",neutral,train
IEMOCAP,iemocap_Ses03M_impro08b_M014,neutral,neutral,0.8325,7.28,"Tell them that you can go in and get a brand new phone, the hookie-up service in the industry. I don't want to watch that.",neutral,train
IEMOCAP,iemocap_Ses03M_impro08b_M015,neutral,anger,0.415,2.68,"I'll be free no contract, okay?",neutral,test
IEMOCAP,iemocap_Ses03M_impro08b_M016,neutral,neutral,0.866,3.39,"Throw in that, yeah, going there, telling Brent Braxton to say.",neutral,train
IEMOCAP,iemocap_Ses03M_impro08b_M017,neutral,neutral,0.6413333333333334,5.87,"D-Top Lands, Cam夜 Karl's Phone, Game Boy anything you want? And Simplex! Or FreeAir遠fall Violet!",neutral,train
IEMOCAP,iemocap_Ses03M_impro08b_M018,neutral,neutral,0.682,2.91,10.'tN2、2段,neutral,train
IEMOCAP,iemocap_Ses03M_impro08b_M019,neutral,neutral,0.8933333333333332,10.69,"Okay, they can figure out pink for you. So go in and there and tell them that and they'll hook you up with other goodies, stuff like that. Free service. No contract, no nothing. Just for being a good customer.",neutral,val
IEMOCAP,iemocap_Ses03M_impro08b_M020,neutral,disgust,0.364,2.21,and valley through with us.,neutral,val
IEMOCAP,iemocap_Ses03M_impro08b_M021,neutral,neutral,0.693,3.09,been standing again using a hand app on the console and I encounter many interesting parts,neutral,train
IEMOCAP,iemocap_Ses03M_impro08b_M022,neutral,joy,0.845,4.49,"Alright, great. You're having a nice evening.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F000,neutral,disgust,0.361,5.17,What's he gonna say? Maybe we ought to talk to him before he sees it.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F001,neutral,neutral,0.6585,5.15,"What do you mean he couldn't have seen it? I was the first one up, he was still in bed.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F002,neutral,sadness,0.614,2.21,When?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F003,neutral,neutral,0.688,2.74,What was he doing out at 4 in the morning?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F004,sadness,neutral,0.5,2.32,Und die Taation,sadness,train
IEMOCAP,iemocap_Ses03M_script01_1_F005,sadness,sadness,0.828,1.97,He cried hard.,sadness,train
IEMOCAP,iemocap_Ses03M_script01_1_F006,neutral,disgust,0.419,3.32,What was he doing out there anyway?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F007,anger,neutral,0.644,4.24,He's starting to dream about him again. He's walking around at night again.,anger,test
IEMOCAP,iemocap_Ses03M_script01_1_F008,sadness,neutral,0.7515000000000001,5.77,"He's getting just like he did after he died, you know. What's the meaning of this?",sadness,train
IEMOCAP,iemocap_Ses03M_script01_1_F009,neutral,neutral,0.922,2.02,What?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F010,neutral,neutral,0.5,1.88,What do you mean dishonest?,neutral,test
IEMOCAP,iemocap_Ses03M_script01_1_F011,neutral,neutral,0.5,2.92,What are you gonna do? You wanna argue with him?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F012,neutral,disgust,0.744,2.9,I can't say that to him.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F013,anger,disgust,0.521,2.8,How are you gonna prove it? Can you prove it?,anger,train
IEMOCAP,iemocap_Ses03M_script01_1_F014,neutral,neutral,0.509,4.06,"to you maybe, to me, but not to your father. I mean...",neutral,test
IEMOCAP,iemocap_Ses03M_script01_1_F015,anger,disgust,0.502,7.98,He still thinks he's alive still. I mean you could talk yourself blue in the face and there's no body and there's no grave So where are you?,anger,train
IEMOCAP,iemocap_Ses03M_script01_1_F016,anger,anger,0.562,8.82,"No, this is goddamn newspapers is what it is. Every month there's a new boy comes home and he's Larry's gonna be the next one.",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_F017,anger,neutral,0.926,2.14,Why?,anger,train
IEMOCAP,iemocap_Ses03M_script01_1_F018,neutral,neutral,0.802,4.64,"Well, I have an idea, but I don't know what's the story.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F019,neutral,neutral,0.5,2.99,"How that's your business, Chris?",neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F020,anger,disgust,0.402,4.29,But what do you want me to do? I mean you're old enough to know your own mind,anger,train
IEMOCAP,iemocap_Ses03M_script01_1_F021,neutral,disgust,0.475,4.73,"Well, I mean, you gotta make sure your dad's not gonna...",neutral,test
IEMOCAP,iemocap_Ses03M_script01_1_F022,anger,neutral,0.923,2.14,I'm just saying.,anger,train
IEMOCAP,iemocap_Ses03M_script01_1_F023,neutral,sadness,0.393,3.55,"You know, I know or would I got ignored?",neutral,val
IEMOCAP,iemocap_Ses03M_script01_1_F024,neutral,neutral,0.869,3.64,"She's not, she's Larry's girl.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F025,anger,anger,0.7320000000000001,9.09,"From Father's point of view, he is still alive. And if you try and take her, that's just not fair. You can't do that.",anger,val
IEMOCAP,iemocap_Ses03M_script01_1_F026,anger,neutral,0.607,11.24,"And if you go on from there, if you know I were to go on from there, then you can. But I'm telling you something that I don't know where to go. You got it up. I mean, do you?",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_F027,neutral,disgust,0.348,5.1,You're a considerate fella. There's nothing wrong in that.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F028,neutral,neutral,0.609,3.01,Did you ask any yet?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F029,neutral,disgust,0.4125,5.07,"And what if she doesn't marry you, huh? What if she feels the same way your father does?",neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F030,neutral,neutral,0.64,5.34,"Look, you've never had seen many women, you know what I mean?",neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F031,anger,neutral,0.825,3.92,"Well, I just don't see why it has to be Annie.",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_F032,neutral,disgust,0.4065,9.05,"Well, that's a good answer, but it doesn't answer anything. You haven't seen her since you left to go to the war, and it's been five years.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F033,anger,disgust,0.4,3.09,"No, I don't want a diagram like",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_F034,anger,disgust,0.513,12.09,"He thinks he's coming back. And you go off and marry that girl and you're just pronouncing him dead and what's gonna happen to him? I don't know. Do you? I mean, I don't know.",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_F035,neutral,disgust,0.454,3.81,"Look, just give it some of that, okay?",neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F036,neutral,disgust,0.453,2.77,What the hell is this?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F037,neutral,anger,0.661,2.6,Are you crazy?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_F038,anger,disgust,0.395,4.83,You're just gonna leave the business you have a business here you can't do that,anger,train
IEMOCAP,iemocap_Ses03M_script01_1_F039,neutral,neutral,0.904,2.55,"Oh, you have to be inspired. Yes.",neutral,test
IEMOCAP,iemocap_Ses03M_script01_1_F040,sadness,neutral,0.632,4.55,Tell me something can leave this business,sadness,train
IEMOCAP,iemocap_Ses03M_script01_1_F041,neutral,disgust,0.646,2.9,You can't talk like that.,neutral,test
IEMOCAP,iemocap_Ses03M_script01_1_F042,anger,neutral,0.5,3.97,"Alright, but you can't talk like that, you hear?",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_F043,anger,neutral,0.64725,6.87,"What the hell have we worked for then? I mean, it's all for you, Chris. The whole shoot matches for you. No, just...",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_F044,anger,anger,0.586,4.71,You don't talk like that. You're here. You don't...,anger,train
IEMOCAP,iemocap_Ses03M_script01_1_F045,sadness,disgust,0.43,3.29,I don't understand you do I.,sadness,test
IEMOCAP,iemocap_Ses03M_script01_1_F046,sadness,neutral,0.738,3.57,"Yeah, I can see that.",sadness,train
IEMOCAP,iemocap_Ses03M_script01_1_M000,sadness,sadness,0.54,3.22,He saw it.,sadness,train
IEMOCAP,iemocap_Ses03M_script01_1_M001,sadness,sadness,0.382,2.65,He was out there when it happened.,sadness,test
IEMOCAP,iemocap_Ses03M_script01_1_M002,sadness,disgust,0.5945,9.25,"About four in the morning, I heard a crack and I looked out and he was standing right there when it happened.",sadness,train
IEMOCAP,iemocap_Ses03M_script01_1_M003,sadness,sadness,0.5509999999999999,5.96,"I don't know. But after a crack, you were back into the house and you cried in the kitchen.",sadness,train
IEMOCAP,iemocap_Ses03M_script01_1_M004,sadness,neutral,0.739,5.55,"No, I figured the best thing to do is to leave him alone.",sadness,test
IEMOCAP,iemocap_Ses03M_script01_1_M005,sadness,sadness,0.636,2.39,I can hear it right through the floor.,sadness,train
IEMOCAP,iemocap_Ses03M_script01_1_M006,sadness,neutral,0.916,2.67,And guess he is.,sadness,test
IEMOCAP,iemocap_Ses03M_script01_1_M007,sadness,fear,0.833,6.33,"I don't know, but I know one thing, Ma. We made a terrible mistake with Dad.",sadness,train
IEMOCAP,iemocap_Ses03M_script01_1_M008,anger,neutral,0.87,5.27,"Being dissonance with him, that kind of thing always pays off and now it's paying off.",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_M009,anger,neutral,0.7085,8.79,You know that Larry's not coming back and I know that too. Why do we both go on letting him think that we both believe with him?,anger,test
IEMOCAP,iemocap_Ses03M_script01_1_M010,anger,neutral,0.831,6.63,"No, I don't want to argue with him, but it's time that he realizes that nobody believes Larry's coming back anymore.",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_M011,anger,fear,0.6345,13.57,Why shouldn't he walk around dream at him at night? Why shouldn't he walk around? Why shouldn't he dream of him? Walk around at night waiting for him. Do we contradict him? Do we stay flat out that we don't have any more hope?,anger,train
IEMOCAP,iemocap_Ses03M_script01_1_M012,anger,sadness,0.816,3.11,that we haven't had any hope for years now.,anger,train
IEMOCAP,iemocap_Ses03M_script01_1_M013,neutral,disgust,0.385,2.04,We gotta say it.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_M014,anger,sadness,0.554,5.73,"Larry's been gone for three years. For God's sake, no one comes back after three years is insane.",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_M015,anger,disgust,0.437,4.62,"Listen mom, just sit down. I want to talk to you.",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_M016,anger,neutral,0.674,3.57,"All right, all right. Larry's gonna be the next one. All right, just listen.",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_M017,neutral,neutral,0.522,3.76,"You know why I asked Annie here, right?",neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_M018,neutral,sadness,0.634,2.04,You know.,neutral,test
IEMOCAP,iemocap_Ses03M_script01_1_M019,neutral,disgust,0.355,3.3,I want to ask her to marry me.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_M020,anger,neutral,0.825,2.87,You know it's not just my business.,anger,train
IEMOCAP,iemocap_Ses03M_script01_1_M021,neutral,neutral,0.685,3.25,"Okay, so it's all right. I'll go ahead with it.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_M022,anger,anger,0.5984,11.97,"Oh, see, then it's just not my business. God, you infuriate me sometimes. Isn't it my business too if dad throws a fit? Huh? God, you have such a talent for ignoring things.",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_M023,anger,disgust,0.547,2.27,She's not Larry's girl,anger,train
IEMOCAP,iemocap_Ses03M_script01_1_M024,anger,neutral,0.814,5.4,"I don't know what it is, but every time I reach out for something I want I have to pull back.",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_M025,neutral,disgust,0.447,2.03,because other people will suffer.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_M026,anger,anger,0.918,5.03,my whole entire bloody lifetime and time again.,anger,train
IEMOCAP,iemocap_Ses03M_script01_1_M027,anger,disgust,0.369,2.04,What the hell was that?,anger,val
IEMOCAP,iemocap_Ses03M_script01_1_M028,neutral,disgust,0.414,3.06,I wanted to get this settled first.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_M029,neutral,neutral,0.802,2.29,then I guess that's the end of it.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_M030,sadness,disgust,0.653,4.85,with them or letters I think she's forgotten him. I'll find out.,sadness,train
IEMOCAP,iemocap_Ses03M_script01_1_M031,neutral,neutral,0.8285,5.96,"And then we'll thrash it out with dad, right? Mom, don't avoid me",neutral,test
IEMOCAP,iemocap_Ses03M_script01_1_M032,neutral,neutral,0.789,3.46,"Also what, I'm just not fast with women.",neutral,val
IEMOCAP,iemocap_Ses03M_script01_1_M033,anger,neutral,0.913,2.88,because it is.,anger,val
IEMOCAP,iemocap_Ses03M_script01_1_M034,anger,neutral,0.731,12.27,"It's just... that's just the way it is. That's how I feel. You know, these years when I think of someone I want to marry, I think of Annie. What do you want to diagram?",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_M035,anger,sadness,0.694,3.66,Alright then.,anger,train
IEMOCAP,iemocap_Ses03M_script01_1_M036,sadness,neutral,0.8314999999999999,11.0,"I've given it three years of thought. And I thought if I waited, then Dad would forget about Larry, and then we could have a regular wedding and everything happy.",sadness,train
IEMOCAP,iemocap_Ses03M_script01_1_M037,neutral,disgust,0.363,3.47,But if I can't have that here I'll get out.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_M038,neutral,neutral,0.86,5.55,I'll get out. I'll marry her somewhere else. Maybe New York.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_M039,anger,neutral,0.5,5.83,"I've been a good son too long, a good sucker, and I'm through with it.",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_M040,anger,neutral,0.5,3.99,The business doesn't inspire me.,anger,test
IEMOCAP,iemocap_Ses03M_script01_1_M041,anger,sadness,0.743,14.47,"Yes, I like an hour out of the day. If I have to grow up for money all day long, at least at evening, I want it beautiful. I want a family. I want a wife. I want some kids. I want to build something I can give myself to.",anger,train
IEMOCAP,iemocap_Ses03M_script01_1_M042,anger,neutral,0.779,4.08,Now Annie's in the middle of all that. Where do I find her?,anger,test
IEMOCAP,iemocap_Ses03M_script01_1_M043,neutral,disgust,0.39,3.6,"Yes, on this I would.",neutral,val
IEMOCAP,iemocap_Ses03M_script01_1_M044,neutral,neutral,0.881,3.01,Then help me stay here.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_1_M045,sadness,neutral,0.719,3.59,"I know, just you help me stay here.",sadness,train
IEMOCAP,iemocap_Ses03M_script01_1_M046,sadness,sadness,0.623,3.52,I am thinking like that.,sadness,test
IEMOCAP,iemocap_Ses03M_script01_1_M047,sadness,sadness,0.648,4.38,"No, you don't. I'm a pretty tough guy.",sadness,train
IEMOCAP,iemocap_Ses03M_script01_2_F000,anger,neutral,0.615,2.48,What invite her here?,anger,train
IEMOCAP,iemocap_Ses03M_script01_2_F001,anger,neutral,0.941,5.41,She's been away three and a half years in New York and suddenly she just shows up,anger,train
IEMOCAP,iemocap_Ses03M_script01_2_F002,neutral,disgust,0.401,3.19,Nobody travels 700 miles just to see.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_2_F003,neutral,disgust,0.374,2.44,He's not gonna marry her.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_2_F004,neutral,neutral,0.6,3.72,I see it. It has the appearance of it.,neutral,val
IEMOCAP,iemocap_Ses03M_script01_2_F005,neutral,neutral,0.759,2.34,"What's going on here, Joe?",neutral,test
IEMOCAP,iemocap_Ses03M_script01_2_F006,anger,neutral,0.954,4.24,"No, she's not as girl Joe and she knows that",anger,test
IEMOCAP,iemocap_Ses03M_script01_2_F007,neutral,neutral,0.7085,12.45,"Now why is she still single? And I mean there's plenty of single men in New York. Why isn't she married by now? Probably 100 men has told her that she's foolish, but she's waiting.",neutral,test
IEMOCAP,iemocap_Ses03M_script01_2_F008,neutral,neutral,0.794,3.35,"Because she knows what I know, that's why.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_2_F009,anger,neutral,0.93,4.93,"You know, her faith is stronger than a rock.",anger,train
IEMOCAP,iemocap_Ses03M_script01_2_F010,sadness,disgust,0.691,5.17,"My worst time's it. Think about it, you know, and I...",sadness,train
IEMOCAP,iemocap_Ses03M_script01_2_F011,sadness,neutral,0.926,6.55,It's like I know as long as she's waiting. I'm right again.,sadness,val
IEMOCAP,iemocap_Ses03M_script01_2_F012,anger,anger,0.7975,9.02,"Nobody in my house better dare and challenge her faith. Maybe strangers, but not his father, not his brother.",anger,test
IEMOCAP,iemocap_Ses03M_script01_2_F013,neutral,neutral,0.8935,7.21,"I want you to act like you still live. I mean, I don't think I haven't seen the way that you've been since you invited her here.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_2_F014,neutral,disgust,0.4806666666666667,8.06,"But I won't have any of this nonsense. Because you know what happens? If he doesn't come back, I'll kill myself.",neutral,test
IEMOCAP,iemocap_Ses03M_script01_2_F015,anger,disgust,0.626,14.03,"La, laugh at me, but I will. Because you know what happened when she came here, when she came back, she slept in his room, the memorial broke into pieces. Joe, look, look at it! I don't believe with me.",anger,train
IEMOCAP,iemocap_Ses03M_script01_2_F016,neutral,sadness,0.89,2.72,I can't do it all alone.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_2_F017,sadness,neutral,0.8606666666666666,10.58,Look it was just last week that Detroit some boy came back. He'd been away longer than Larry You you can read it for yourself You above all people got a belief,sadness,train
IEMOCAP,iemocap_Ses03M_script01_2_F018,neutral,anger,0.69,3.15,"Look, just keep believing, okay?",neutral,train
IEMOCAP,iemocap_Ses03M_script01_2_F019,sadness,neutral,0.5,1.71,I can't help it.,sadness,train
IEMOCAP,iemocap_Ses03M_script01_2_M000,anger,disgust,0.41,2.34,"Bies, I bother you.",anger,train
IEMOCAP,iemocap_Ses03M_script01_2_M001,neutral,neutral,0.923,3.02,"Maybe, maybe you just wanted to see her.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_2_M002,anger,neutral,0.852,6.22,What do you mean? They grew up next to each other their entire lives. Why shouldn't he want to see her?,anger,train
IEMOCAP,iemocap_Ses03M_script01_2_M003,anger,anger,0.307,3.81,Don't look at me like that. I don't know any more than you.,anger,train
IEMOCAP,iemocap_Ses03M_script01_2_M004,neutral,neutral,0.713,3.73,Who said he even thought about that?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_2_M005,neutral,neutral,0.5,1.83,"Well, so what?",neutral,train
IEMOCAP,iemocap_Ses03M_script01_2_M006,anger,anger,0.768,2.92,Now listen kid. No.,anger,train
IEMOCAP,iemocap_Ses03M_script01_2_M007,neutral,disgust,0.353,2.98,You can't read or mind.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_2_M008,neutral,neutral,0.79,3.36,How do you know why she's waiting?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_2_M009,anger,disgust,0.5365,5.19,Look at how nice the day is. What are we arguing for?,anger,train
IEMOCAP,iemocap_Ses03M_script01_2_M010,anger,anger,0.47,2.74,What do you want me to do? What do you want?,anger,test
IEMOCAP,iemocap_Ses03M_script01_2_M011,anger,joy,0.796,1.93,But hey!,anger,train
IEMOCAP,iemocap_Ses03M_script01_2_M012,anger,anger,0.5166666666666667,5.1,"Hey, don't look. Calm yourself. Calm yourself.",anger,train
IEMOCAP,iemocap_Ses03M_script01_2_M013,neutral,disgust,0.541,3.22,Calm yourself. Alright.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_2_M014,anger,joy,0.607,8.44,Larry alright alright calm yourself. Okay calm yourself What do you mean me above all?,anger,train
IEMOCAP,iemocap_Ses03M_script01_2_M015,anger,anger,0.465,3.57,"Wait, what does that mean? Me above all.",anger,train
IEMOCAP,iemocap_Ses03M_script01_2_M016,anger,fear,0.978,2.21,"Look at you, you're shaking.",anger,train
IEMOCAP,iemocap_Ses03M_script01_2_M017,anger,anger,0.6713333333333334,5.99,"What do I got to hide? Huh? What the hell's the matter with you, Kate?",anger,train
IEMOCAP,iemocap_Ses03M_script01_3_F000,neutral,neutral,0.69,5.43,You're the only one I know that still loves his parents.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_F001,neutral,joy,0.694,4.12,"No, it's all right. It's a good thing, you know?",neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_F002,neutral,joy,0.962,2.9,"Oh, it's lovely here.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_F003,neutral,disgust,0.373,3.02,They're so sweet.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_F004,sadness,sadness,0.652,6.17,"No, I'm not sorry. But I'm not gonna stay.",sadness,train
IEMOCAP,iemocap_Ses03M_script01_3_F005,neutral,neutral,0.565,3.55,"First of all, your mother so much has told me to go.",neutral,test
IEMOCAP,iemocap_Ses03M_script01_3_F006,sadness,disgust,0.449,2.97,Now look.,sadness,test
IEMOCAP,iemocap_Ses03M_script01_3_F007,sadness,disgust,0.374,7.68,"You saw the way that she acted and then well. When you, you were acting kind of it.",sadness,train
IEMOCAP,iemocap_Ses03M_script01_3_F008,sadness,disgust,0.909,6.2,"Well, I don't know. Embarrassed of her since I came.",sadness,train
IEMOCAP,iemocap_Ses03M_script01_3_F009,neutral,neutral,0.5,3.87,"Yeah, I know they would especially your mother.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_F010,neutral,neutral,0.733,4.93,"Well, what other reason from her point of view would I be coming here?",neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_F022,neutral,neutral,0.8665,4.78,"Like Larry's brother. Do it like you, Chris.",neutral,test
IEMOCAP,iemocap_Ses03M_script01_3_F023,neutral,sadness,0.406,2.12,What is it?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_F024,neutral,anger,0.693,2.81,"Now what is it, your mother?",neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_F025,neutral,disgust,0.369,6.15,"But tell me what's wrong, even in your letters you seem to shame.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_F026,neutral,disgust,0.426,2.73,You gotta tell me.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_F027,neutral,disgust,0.386,3.53,"Okay, it wouldn't work like this.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_F028,neutral,disgust,0.459,2.18,Не ошел.,neutral,test
IEMOCAP,iemocap_Ses03M_script01_3_F029,sadness,neutral,0.687,2.2,How many?,sadness,train
IEMOCAP,iemocap_Ses03M_script01_3_F030,sadness,neutral,0.816,2.31,Going on a sit.,sadness,train
IEMOCAP,iemocap_Ses03M_script01_3_F031,sadness,neutral,0.927,3.4,And you still feel that way.,sadness,train
IEMOCAP,iemocap_Ses03M_script01_3_F032,neutral,anger,0.6923333333333334,6.79,"because you mustn't feel that way again. You hear me? You can't. You deserve everything you have, Chris.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_F033,sadness,neutral,0.7306666666666667,12.82,That includes me too. I mean the money you were right to that money your father put planes up in the air good planes And he deserves it. You should be proud of that And man should be paid for that,sadness,train
IEMOCAP,iemocap_Ses03M_script01_3_M000,neutral,neutral,0.675,5.17,I know. It's sort of when I had a style didn't it?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_M001,neutral,disgust,0.375,3.34,You're not sorry you came?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_M002,neutral,sadness,0.635,2.22,Why?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_M003,neutral,sadness,0.599,2.53,Well...,neutral,test
IEMOCAP,iemocap_Ses03M_script01_3_M004,neutral,neutral,0.922,2.27,What?,neutral,val
IEMOCAP,iemocap_Ses03M_script01_3_M005,neutral,disgust,0.6615,9.44,"Well, the trouble is I was playing non-speaking up on you over a week or so. They take it for granted that were all set.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_M006,neutral,sadness,0.572,2.2,How's you now?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_M007,neutral,sadness,0.625,4.38,"So, would you want to?",neutral,test
IEMOCAP,iemocap_Ses03M_script01_3_M009,neutral,joy,0.932,7.48,"Oh Annie, I love you. I love you a great deal.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_M011,neutral,disgust,0.406,5.5,I don't I have no imagination that's the only way I know how to tell it,neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_M012,neutral,disgust,0.521,10.24,"I'm embarrassing you. I didn't want to tell you this here. I wanted to drive some place brand new where we'd be brand new to each other. You feel it's wrong here, don't you?",neutral,test
IEMOCAP,iemocap_Ses03M_script01_3_M013,neutral,neutral,0.771,6.09,This yard and this chair. I don't want to win you from anything. I want you to be ready for me,neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_M014,neutral,neutral,0.781,3.27,Then he's gone forever. Are you sure?,neutral,val
IEMOCAP,iemocap_Ses03M_script01_3_M015,neutral,sadness,0.65,2.42,Why didn't you?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_M017,neutral,sadness,0.659,3.16,Why didn't you let me know?,neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_M020,neutral,neutral,0.502,3.71,How long have been waiting to do that?,neutral,test
IEMOCAP,iemocap_Ses03M_script01_3_M022,neutral,sadness,0.384,2.39,I kissed you.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_M023,sadness,sadness,0.6683333333333333,6.9,"Yeah, nothing. Hey, um, let's drive somewhere. I wanna be alone with you.",sadness,train
IEMOCAP,iemocap_Ses03M_script01_3_M024,neutral,disgust,0.703,2.73,"Oh, nothing, nothing like that.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_M025,neutral,disgust,0.618,7.96,"Well, yes, I guess I've been ashamed, but it's going for me.",neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_M026,neutral,disgust,0.398,3.18,I don't know where to start.,neutral,train
IEMOCAP,iemocap_Ses03M_script01_3_M027,sadness,disgust,0.354,5.52,You remember overseas I was in command of a company.,sadness,train
IEMOCAP,iemocap_Ses03M_script01_3_M028,sadness,sadness,0.835,2.66,"Well, I lost.",sadness,train
IEMOCAP,iemocap_Ses03M_script01_3_M029,sadness,neutral,0.964,2.51,Just about all.,sadness,test
IEMOCAP,iemocap_Ses03M_script01_3_M030,sadness,neutral,0.962,5.59,"It takes little while to toss that off, because they weren't just meant.",sadness,train
IEMOCAP,iemocap_Ses03M_script01_3_M031,sadness,neutral,0.7869999999999999,11.92,"For instance, one time this uh, it had been raining several days and this one kid, he came up to me, he gave me his last pair of dry socks. Put them in my pocket.",sadness,train
IEMOCAP,iemocap_Ses03M_script01_3_M032,sadness,neutral,0.6920000000000001,10.11,"That's just a little thing, but that's the kind of guys I had. They didn't just die. They killed themselves for each other, and I mean that exactly.",sadness,train
IEMOCAP,iemocap_Ses03M_script01_3_M033,sadness,disgust,0.4373333333333333,11.65,"A little more selfish and they'd still be here today. And I got this idea of watching them go down. See everything was being destroyed, but there was one new thing that was being creative.",sadness,train
IEMOCAP,iemocap_Ses03M_script01_3_M034,sadness,neutral,0.6173333333333334,7.78,"It was it. It kind of responsibility. Man for man, you understand me?",sadness,test
